,RecipeId,AuthorId,Rating
602,476,10068,5
610,481,7515,5
621,659,6702,3
625,721,8629,3
626,677,10227,5
631,619,10271,5
635,686,3288,3
645,517,5285,4
653,400,10291,1
655,83,5999,1
658,1128,10314,5
672,480,10534,3
678,677,10325,4
679,1809,7503,5
686,476,6357,5
689,1807,4398,4
696,280,10664,5
699,100,10701,3
727,280,10878,4
728,142,10881,5
739,1878,10808,3
759,1823,6220,5
760,2086,11053,5
768,436,9244,5
782,1600,11119,4
789,201,3505,4
792,155,10380,5
806,506,11561,5
819,444,11119,4
833,566,11735,5
835,580,11297,4
852,566,11797,4
875,324,4470,5
879,1451,11835,1
881,2032,11044,4
882,1155,10896,5
883,648,10896,4
940,541,12352,0
953,481,9903,5
954,1320,12250,5
970,541,12537,4
978,445,12568,5
987,632,12585,3
996,155,12674,5
1004,1574,4470,4
1030,267,4470,5
1042,556,12305,2
1051,607,13017,5
1057,606,10701,4
1065,432,13138,5
1066,933,12234,4
1087,686,12944,5
1094,1034,13285,4
1102,930,8629,4
1108,479,13393,5
1119,1605,7308,4
1123,170,11297,3
1131,153,13513,4
1138,573,13569,5
1139,83,13570,0
1153,916,13640,5
1170,210,13712,5
1184,464,12657,5
1185,1420,13797,5
1186,1436,13815,0
1190,671,13763,4
1205,1078,13879,5
1207,686,13880,0
1213,1631,13625,4
1234,1420,14241,0
1238,592,14303,5
1279,640,14766,3
1298,1106,7381,4
1311,902,13483,3
1314,104,14386,3
1318,287,15243,5
1321,588,4470,5
1324,541,15292,5
1329,432,15368,5
1332,155,14613,5
1333,113,14613,3
1345,834,4470,5
1347,376,15851,5
1364,648,15624,0
1365,543,15624,0
1377,506,16287,4
1381,834,16334,5
1401,673,12655,4
1427,542,16758,3
1446,1631,8631,5
1452,536,16951,5
1463,693,12782,4
1466,1436,17015,0
1467,604,15451,0
1504,1823,16140,4
1531,810,14188,4
1547,1436,18063,0
1560,1396,2781,5
1568,246,7770,5
1577,1485,14983,4
1585,1136,16140,5
1592,246,14059,5
1601,280,14059,4
1634,965,5920,5
1684,669,19080,1
1685,912,11688,5
1706,250,2059,4
1707,481,19043,4
1724,1923,19021,5
1734,1293,10404,5
1741,664,19351,4
1772,617,13483,4
1782,1253,13273,1
1794,1809,9690,4
1811,1505,13483,4
1816,932,10437,0
1822,44,18977,5
1834,693,13483,4
1861,585,16140,4
1870,1012,5060,3
1876,380,16140,4
1885,129,16409,5
1892,540,19895,3
1901,44,15609,4
1932,1035,17642,5
1955,545,20075,5
1979,2015,15609,5
1991,201,19412,4
2025,153,20375,5
2039,102,18974,5
2068,451,13483,4
2103,361,15572,4
2109,445,16818,5
2123,678,16459,4
2138,577,17195,4
2165,102,19799,5
2198,1593,14377,5
2203,1881,11688,5
2213,1780,21204,5
2218,541,21216,0
2234,1780,20893,5
2296,834,15572,5
2347,494,21665,4
2372,227,10216,2
2374,1904,10216,5
2440,276,21144,4
2477,834,22023,4
2494,62,16408,5
2516,1780,22147,5
2528,115,22212,5
2529,564,22212,3
2530,566,21547,4
2532,502,21694,5
2542,112,20371,4
2570,1024,22132,0
2572,515,20987,5
2585,102,21034,3
2627,487,21694,4
2630,285,14386,4
2637,1417,18395,5
2680,229,6357,4
2711,1807,21852,5
2727,1451,14583,3
2730,834,13483,4
2772,328,14880,5
2787,131,23027,5
2812,135,21752,5
2815,1746,16827,5
2871,686,23029,5
2914,1857,15368,3
2956,280,23701,5
2962,211,23132,5
2977,1417,10701,4
2999,528,22828,4
3071,62,14613,4
3100,452,21627,5
3148,167,22920,4
3158,657,6702,5
3185,506,15368,4
3187,1166,23866,5
3231,454,12657,4
3244,503,19724,4
3304,490,21627,5
3334,809,25095,5
3422,825,10649,4
3425,902,10649,2
3444,2032,19893,3
3455,450,4470,5
3457,542,5686,4
3464,2075,20591,5
3512,886,19878,3
3534,350,25808,0
3561,190,10649,3
3574,44,20780,4
3576,334,20371,5
3608,1298,26083,4
3616,361,20497,5
3672,851,23584,2
3701,1209,19767,4
3728,475,18391,2
3758,506,26596,0
3807,989,22278,4
3816,329,25925,4
3988,834,19799,5
3998,276,21434,4
4013,2015,20076,5
4023,72,8342,5
4062,246,19044,5
4094,2072,9121,1
4098,464,8728,4
4146,1170,27880,5
4258,1780,27694,5
4264,422,13483,4
4280,1460,28133,5
4287,780,15404,5
4356,567,8761,5
4361,1417,12076,5
4417,601,28507,5
4442,1947,21613,5
4443,360,14000,5
4488,1034,22599,4
4489,1168,29023,5
4524,118,26547,5
4565,498,19924,5
4568,1835,27922,0
4581,1699,20828,4
4589,608,7119,4
4602,607,29241,5
4642,1136,29299,5
4693,2075,14386,1
4747,632,20754,4
4754,1168,29483,5
4798,672,20895,4
4913,397,29793,5
4927,1902,15572,4
4957,1209,29852,5
4986,664,29909,4
4991,809,29919,4
4993,1602,12439,5
5005,1832,20160,5
5099,615,21752,5
5163,1086,14541,5
5165,1201,30092,0
5220,541,22015,5
5237,246,30080,5
5246,541,30439,5
5262,198,14613,4
5284,361,28408,5
5298,1562,21487,4
5320,89,27643,5
5327,480,30541,5
5342,376,29101,5
5406,834,26341,3
5514,2013,29813,3
5576,938,4470,5
5605,676,19833,5
5677,1209,30978,5
5731,696,28442,5
5808,676,11295,1
5814,334,12657,5
5855,112,20160,5
5856,198,29750,5
5869,566,26603,5
5881,609,15820,5
5908,845,2312,5
5923,1034,23302,3
5933,1887,29450,4
6033,1923,30746,2
6075,1136,30580,5
6131,456,12657,5
6176,617,5929,0
6297,112,20214,3
6334,1428,31944,4
6404,1581,32365,5
6685,1904,33064,5
6839,568,27381,5
6859,1168,33839,5
7007,619,23913,4
7172,48,32421,0
7201,334,32411,5
7273,147,18549,5
7304,1171,17803,4
7314,468,35387,5
7315,173,27395,5
7320,671,35390,4
7405,467,6258,4
7467,545,35640,5
7600,669,4487,4
7620,1078,31803,5
7647,173,29920,4
7671,834,29196,5
7685,601,20935,5
7771,1574,34489,4
7793,432,34160,4
7842,408,33812,4
7869,327,28512,4
7949,112,6512,4
7966,1201,30716,3
7981,278,36423,5
8004,2002,36285,1
8036,1451,4470,5
8053,1630,17344,4
8103,319,11430,4
8172,930,24323,4
8196,209,30471,3
8322,1086,23302,3
8353,46,34280,5
8363,1982,31261,5
8513,648,34357,5
8555,246,23333,5
8584,616,34969,5
8611,617,30716,5
8780,1438,37639,5
8818,965,18391,5
8819,116,18391,3
8848,1008,36934,0
8958,1275,18615,5
8992,588,9869,5
8997,472,20076,4
9010,1356,27678,4
9044,501,12882,5
9109,44,35526,5
9172,1982,37954,5
9315,1168,38397,0
9639,198,15511,5
9661,536,29920,4
9793,168,29956,5
9821,246,32519,5
9879,1209,39076,5
9973,1293,1891,4
10165,170,39210,3
10231,1209,23394,5
10247,1999,39615,4
10297,1442,38257,3
10416,1078,4470,5
10702,1168,40169,4
10974,1902,37868,4
11007,514,12657,4
11133,296,12657,4
11214,1168,40834,0
11352,834,35193,4
11400,129,40687,5
11419,1631,40775,5
11436,203,41177,5
11443,72,5743,5
11575,998,41378,5
11654,399,41493,5
11700,327,20497,5
11735,552,6164,4
11791,1170,26278,5
11842,560,8629,4
11851,998,7456,5
11864,1168,24995,4
11869,721,35729,4
12075,382,42223,5
12156,280,42304,5
12242,636,12657,5
12340,548,27037,5
12359,1560,27442,5
12419,114,27381,5
12421,2072,40777,5
12422,1035,27381,5
12440,376,41885,5
12481,1035,37914,5
12483,536,28201,5
12490,1945,40256,4
12617,1861,40497,5
12753,1600,43117,5
12906,547,11297,4
13069,548,43566,5
13097,445,39713,4
13388,44,41973,5
13443,1780,7456,5
13489,552,37779,5
13583,246,31232,5
13613,271,41425,4
13673,431,14000,4
13716,136,44597,5
13751,503,43152,3
13801,49,19893,4
13843,2072,1891,5
13852,526,45739,5
13921,1175,45888,4
13962,721,17803,5
14202,588,29196,5
14269,155,46740,5
14511,970,11297,5
14518,1506,3858,2
14631,246,30503,5
14714,1631,47524,5
14718,217,6651,5
14752,399,46303,4
14841,445,34725,5
15314,267,43628,5
15439,191,43505,5
15445,897,41874,3
15462,267,41525,4
15496,573,43037,5
15528,638,30503,4
15531,1150,39907,5
15546,1044,48905,5
15547,2066,45001,4
15551,1078,41735,3
15923,542,45489,5
15933,62,41550,4
15968,153,49287,5
16117,693,41487,4
16231,810,10033,5
16240,179,41487,5
16365,747,41529,5
16588,1085,18391,4
16613,1042,3794,5
16790,334,34272,5
16827,1428,31883,4
16868,916,12875,5
16894,1267,29667,5
16960,116,50976,5
17037,102,50840,4
17093,1809,49304,5
17246,1825,50806,5
17270,93,13483,5
17462,450,29196,4
17699,246,51840,5
17733,931,4470,5
17753,71,51170,5
17814,916,22724,5
18199,1436,32330,1
18504,916,52863,5
18518,648,52528,5
18568,136,43846,5
18585,573,49304,5
18685,1267,38185,4
18723,1725,53123,5
18842,1631,19799,4
18908,246,26657,5
19089,1136,46431,5
19345,246,49360,5
19397,671,51572,4
19534,615,52306,5
19889,103,8000,0
20089,1630,37640,4
20469,223,38581,4
20492,834,25455,2
20537,834,54424,4
20641,287,54865,1
20824,1481,37868,5
21022,647,3861,4
21132,1170,53143,5
21262,346,5060,5
21395,219,42251,5
21478,686,10033,3
21516,56,47482,5
21599,616,55759,5
22023,203,50778,4
22290,425,51979,5
22376,246,8526,5
22436,501,46731,4
22664,179,35701,5
22702,508,56687,4
22835,607,13483,5
22841,177,39568,5
22933,1175,42290,4
23013,49,39835,4
23035,1564,53443,4
23158,303,57003,5
23229,287,57106,1
23242,1267,5287,5
23258,631,12657,5
23380,355,4796,5
23405,2056,7108,5
23735,834,55729,4
23779,1293,35635,4
23796,355,50575,4
23823,355,37471,5
23949,674,57822,4
24126,674,55343,2
24150,246,37636,5
24376,66,42938,4
24658,192,27381,5
24705,834,58546,2
24975,1505,37305,5
25016,159,40493,5
25288,1141,46786,3
25384,334,58579,5
25420,361,20480,5
25525,1232,12657,4
25553,456,52652,4
25613,965,13483,4
25789,664,25792,4
25794,519,4470,0
25985,1807,30080,4
26027,198,59721,5
26133,1209,32143,5
26216,1725,55597,4
26232,555,59762,3
26259,210,59438,5
26317,87,12882,5
26806,615,49482,5
27329,246,55729,5
27347,1033,53425,4
27371,334,25319,5
27567,648,13796,5
27667,2072,34272,5
28156,1157,62335,5
28164,903,9841,5
28274,518,25455,3
28326,1150,15851,3
28336,615,31914,5
28594,334,61628,5
28596,459,8526,4
28699,246,56498,5
28741,411,55729,3
28757,834,43152,5
29042,468,35526,5
29504,953,53286,3
29547,602,16459,5
29608,468,51501,4
29645,334,35701,5
29904,1825,56447,4
30062,278,52062,5
30276,40,59064,5
30408,1209,49325,5
30708,535,46152,5
30772,1209,57734,5
30965,1209,56498,5
31033,1581,59064,5
31331,1149,6197,5
31332,535,10896,4
31333,246,65166,5
31388,246,59229,5
31458,638,59064,4
31576,167,44650,5
32051,556,55370,4
32134,1551,48740,3
32212,468,58038,3
32438,376,67298,5
32654,573,53586,5
32657,834,54403,4
32931,834,29450,5
32954,397,56670,5
32959,1035,22015,5
33136,1171,55393,5
33399,397,56718,5
33767,2072,45833,5
33842,693,43083,4
33907,693,37868,5
34457,628,34840,4
34754,1018,69662,5
35170,40,70154,1
35180,1630,28604,4
35229,607,39394,5
35305,210,51351,5
35431,582,70551,4
35472,749,63927,5
35595,210,27452,5
35600,1209,70845,4
35604,632,70852,0
35608,210,32772,5
36016,181,68210,1
36139,1267,38418,4
36203,175,56081,4
36290,1481,71721,5
36311,2056,68210,5
36351,316,67154,0
36512,822,52986,4
36931,536,72482,5
37065,536,28373,5
37308,246,50643,5
37627,334,60694,5
37989,432,27381,5
38086,648,41409,5
38269,916,72633,5
38390,674,20084,4
38553,648,49773,5
39783,601,76539,5
39918,1232,68363,4
40270,249,9206,5
40301,66,8679,5
40388,104,76091,4
40922,593,6164,5
41059,1162,75527,5
41236,593,35526,5
41290,42,71084,5
41770,820,75449,4
42062,153,72179,5
42176,913,43032,5
42362,1633,60908,5
42365,1229,59780,5
42458,834,78960,5
42509,451,57256,4
42730,825,71463,5
42862,1293,81119,4
42863,1293,56625,4
43108,648,37636,5
43131,198,62086,5
43229,573,47510,5
43338,131,44160,4
43504,44,27526,5
43506,834,19033,1
43668,41,57256,5
43776,868,57256,5
44103,916,69983,5
44397,1157,47636,5
44849,1873,48920,5
44880,1209,56440,5
45125,640,64642,5
45467,216,59790,0
45577,153,75020,5
45612,334,57003,5
45802,246,56125,5
45817,1660,82075,5
46112,834,84160,5
46319,1684,66987,4
46664,350,39934,4
46702,897,32772,5
46804,56,84196,0
47125,1086,8937,4
47275,1600,23466,5
47331,49,69551,5
47648,284,72570,5
48002,445,85018,5
48111,2086,49937,5
48119,501,46134,5
48235,1149,29166,5
48474,536,66520,5
48509,445,87925,5
48637,177,56670,5
48644,449,82663,0
48689,809,34146,5
48857,541,59780,0
49695,294,88826,3
50038,2072,39210,5
50155,536,15572,4
50329,1780,52125,5
50409,1243,34879,5
50412,1807,34879,5
50459,414,18742,5
50460,545,18742,5
50513,834,60231,5
50787,970,82407,5
51212,445,17579,5
51218,670,72677,4
51315,267,22583,5
51519,155,51224,5
51736,536,39835,3
51822,445,82772,5
51909,1982,56463,5
51990,1481,65631,5
51991,346,45902,3
52155,56,75833,5
52391,1035,84790,5
52432,1293,92699,4
52730,2072,92495,4
52899,59,91383,5
53041,56,92666,5
53174,481,74075,4
53339,280,40984,3
53437,232,50969,4
53457,246,8414,5
53781,1780,62043,5
53838,220,54786,5
53988,76,7119,5
54276,489,50969,1
54280,196,59911,5
54794,1481,50601,5
55327,1196,73087,5
55567,131,95247,2
55652,1780,29956,5
55664,93,79361,5
55907,1631,89831,5
56004,615,58038,4
56083,116,11338,4
56191,664,65308,5
56222,116,85026,4
56269,280,97364,5
56472,170,96665,5
56603,2086,29820,4
56716,953,39835,3
56738,220,37713,5
56896,536,56130,5
56924,220,91392,5
57033,519,56112,5
57044,321,4470,5
57095,1157,56670,4
57202,156,63128,3
57269,40,39949,4
57394,432,99107,5
57528,593,99299,5
57541,485,87023,4
57542,642,87023,5
57645,198,91201,4
57734,1078,20159,5
57834,519,64934,5
57835,615,64934,5
57861,143,16459,4
57880,615,37868,4
57974,1129,27643,4
57975,143,27643,5
58144,754,14433,5
58161,642,34146,5
58232,246,26512,5
58317,211,23333,5
58444,246,47510,2
58485,615,15851,4
58662,1145,100147,5
58941,998,51257,5
59193,567,68728,5
59295,229,96937,4
59300,425,101821,4
59685,1415,95535,5
59701,378,102348,5
59887,916,46660,2
60131,223,69838,2
60182,860,94996,5
60240,834,58339,4
60254,378,35140,5
60346,70,86318,0
60399,45,81611,5
60677,801,100998,4
60859,1465,92264,5
61417,370,90569,4
61505,970,79466,5
61582,104,100147,3
61618,430,95743,5
61630,1024,68975,0
61642,642,50067,5
61675,346,9869,5
62363,153,100811,0
62364,246,100811,5
62815,1955,52640,5
62824,615,55729,4
63049,334,106093,5
63457,93,30539,5
63502,667,59064,5
63706,93,13796,5
63977,1746,93230,5
64039,344,30580,2
64073,615,100147,4
64162,541,69387,5
64662,481,45300,5
65268,1438,81611,5
65493,736,54643,5
65842,1982,50573,5
65876,1807,60362,5
65911,566,47341,4
66049,575,66321,4
66281,615,87144,5
66349,809,40533,5
66431,1136,100147,4
66516,153,54697,5
66564,2066,41799,4
66582,1119,100147,5
66608,72,90355,5
66630,451,30534,5
66718,60,92666,3
66795,396,100147,3
67038,834,108291,4
67090,541,102937,4
67175,2056,2148,5
67254,481,23199,5
67469,520,22504,3
67798,261,111277,5
68025,54,86318,3
68330,820,56180,5
68738,520,91609,4
68740,1151,59686,5
68853,246,20214,5
68977,298,13796,4
69026,129,112890,5
69212,1166,70662,5
69969,664,103077,4
70214,436,12166,5
70962,374,53849,5
71008,198,115553,4
71018,502,45416,5
71082,749,51011,5
71263,334,102602,5
71300,1566,110401,5
71346,1746,107651,4
71347,1630,26075,3
71418,541,97579,5
71517,76,60694,5
71729,1797,37289,5
71920,506,86041,4
72218,2066,116970,4
72472,320,52607,3
72603,2086,115857,4
73035,211,114605,5
73040,1157,85018,5
73056,251,84361,3
73384,1999,91283,5
73488,567,117073,5
73549,261,118417,5
73751,593,64683,4
73753,615,21487,5
74036,1035,113535,5
74051,434,87160,3
74157,211,37636,5
74206,456,70420,5
74849,809,41874,5
75433,167,82296,5
75528,1780,47723,3
75576,854,4470,4
75671,1835,107673,4
75718,56,92699,5
75737,76,120471,5
75738,480,120471,5
75761,210,115364,5
76157,970,115621,5
76163,44,21132,5
76175,1631,83816,4
76250,1267,120412,3
76294,383,59064,4
76323,860,117333,5
76347,135,87646,5
76380,860,72093,5
76565,173,120322,4
76582,860,95743,5
76598,1536,82994,4
76841,198,121776,5
77072,719,121618,5
77529,250,35701,4
77639,246,118016,4
77724,44,117530,3
77854,429,122719,5
78170,1888,71636,4
78272,1904,42309,5
78380,64,92666,4
78710,1409,86512,5
78961,456,107234,4
79395,91,92666,4
79531,198,50778,5
79645,424,115364,5
79733,1209,124296,4
80171,1904,123865,5
80349,119,59064,4
80612,747,116643,5
80847,153,121497,5
81140,970,15892,5
81258,177,125524,5
81429,619,121581,5
81469,1149,56002,5
81535,568,122276,5
81673,466,122276,5
81675,1242,93095,4
81710,536,98867,5
81772,278,8526,5
81866,112,87563,4
81917,749,126385,5
82371,809,57400,5
82405,609,51292,5
82413,1149,27783,3
82436,689,99323,5
82523,2032,124927,4
82590,402,31364,5
82703,1209,37950,5
82722,1522,109983,5
82846,192,126469,5
83039,346,102615,5
83276,834,55578,4
83305,2072,56002,5
83322,566,81334,5
83586,1460,128541,4
83727,552,90846,4
83994,319,64295,5
84327,636,53859,5
84347,1581,60992,5
84368,198,128909,2
84430,1581,59588,5
84434,44,129963,5
84456,186,61954,4
84474,399,75020,0
84479,1721,128541,4
84522,319,114965,5
84631,412,129647,4
84737,414,121840,5
84976,1196,85414,3
85051,820,128698,4
85136,1809,125285,5
85298,2056,35526,5
85457,99,29196,5
85818,630,93095,4
85917,414,126895,5
85969,747,35193,4
86657,541,109631,1
86949,615,36944,4
87723,1209,88569,5
88441,1117,12481,5
88719,801,124004,5
89042,271,131256,5
89082,409,20754,3
89289,1716,128071,5
89454,179,109951,5
89657,568,136640,4
89883,400,135162,5
90233,1631,72386,5
90261,648,120976,4
90321,1944,5060,4
90389,1460,137338,5
90711,267,78848,5
90744,242,137638,5
90749,135,36128,5
91121,415,59064,3
91144,568,54697,3
91543,931,27783,5
91919,1522,6651,5
92261,129,58852,5
92284,346,10113,4
92360,1119,109631,0
92450,327,139051,5
92452,1780,42058,3
92453,168,136887,5
92455,468,42058,4
92623,931,60260,5
92920,1578,4470,5
93111,471,39835,5
93237,397,89240,5
93362,776,130663,5
93457,48,68674,2
93719,498,82727,5
93765,319,134663,5
93937,92,64583,5
94257,749,132407,5
94329,1209,107220,5
94658,1078,117974,5
94709,444,86520,4
94787,822,121457,5
94950,200,74059,5
95060,1296,68715,4
95201,76,25996,5
95564,76,141277,5
95919,2020,134663,5
96014,220,55818,5
96145,285,86318,5
96221,1005,59163,5
96301,1078,86318,5
96401,519,36944,5
96435,1460,113108,5
96549,2072,73904,5
96616,445,95743,5
96784,1024,107635,5
97071,1035,134663,5
97165,445,13483,5
97194,2072,142613,0
97261,1904,143357,5
97323,56,139123,5
97358,153,110328,5
97412,822,57436,4
97475,620,93230,4
98042,1423,143146,5
98045,40,132353,5
98049,181,62086,3
98137,768,89416,5
98301,445,37471,5
98413,1612,103876,4
98477,1460,60639,5
98615,609,54602,5
98693,1505,95743,5
98744,192,140028,5
98894,485,145061,3
98978,445,45833,5
98988,548,93380,5
99147,742,130470,4
99152,1149,141980,4
99383,822,56266,5
99516,965,134663,5
99603,1481,87646,4
99692,825,68715,5
99694,481,104827,5
99779,860,128693,5
99780,468,80064,5
100045,1750,146194,5
100101,573,40899,5
100108,198,145673,5
100124,1460,22015,5
100343,1170,33188,5
100392,573,101034,5
100521,667,4470,5
100591,820,22174,0
100891,1149,75728,5
100957,519,110875,5
101153,558,139612,5
101250,155,146029,3
101547,1209,117974,5
101669,693,147189,5
101742,468,72794,4
101779,1981,106580,5
101915,1253,148068,1
102310,221,51199,5
102394,1887,56181,5
102432,402,96364,5
102527,632,145397,5
102630,491,148364,3
102648,1505,41984,5
102776,536,56392,4
102807,845,89240,4
102830,211,101919,5
102844,1306,44383,5
102909,242,118363,5
102991,609,54678,4
103014,1005,149182,5
103088,667,118163,5
103140,749,148753,0
103353,1599,46660,4
103628,290,108681,5
104043,1505,113509,5
104127,200,122235,4
104264,249,151660,5
104393,1242,142004,4
104668,2015,19584,5
105127,133,152729,4
105130,173,151770,5
105184,667,129201,5
105255,1209,142219,3
105446,1725,121023,5
105507,479,149180,5
105661,266,56181,4
105861,749,153585,5
106067,1902,145888,5
106646,1485,51452,5
106840,1778,154696,5
106955,1035,135887,5
107016,346,18549,5
107030,397,89134,5
107061,2066,111448,4
107103,846,154950,4
107332,1320,100185,4
107358,242,104295,5
107416,246,102519,3
107476,514,110034,4
107509,143,5060,4
107612,143,85018,5
107649,52,133174,5
107757,632,155709,5
107805,129,149283,5
107815,1106,155091,3
107824,519,37636,5
107855,593,22015,5
108086,834,128447,2
108359,376,153982,5
108440,93,101823,5
108467,76,124190,5
108774,221,82648,5
108884,150,111342,5
109115,860,156653,4
109296,632,57003,5
109336,346,119552,4
109461,617,86318,5
109527,652,148068,5
109832,1075,155488,2
109867,42,158091,0
109932,617,55850,5
109984,619,43083,5
109987,242,65056,5
110017,250,158375,1
110093,573,126104,3
110315,588,158803,5
110398,1171,57787,5
110400,1873,158507,5
110534,1073,4470,5
110631,481,159074,5
110748,1119,149363,5
111074,473,82616,5
111078,561,159544,5
111140,445,103809,4
111513,487,71324,5
111764,487,160206,0
111915,280,151679,5
111968,220,137191,5
111999,1746,41531,5
112242,1809,56125,4
112737,2087,123897,5
112811,1119,153866,5
113300,810,1535,5
113360,1770,153919,4
113864,334,146149,4
113899,536,29300,4
114157,595,133174,5
114407,592,127039,5
114420,1149,160755,5
114472,567,157760,3
114927,1904,155886,3
115326,660,22015,4
115382,588,162581,5
115405,1629,152821,0
115795,1035,64203,5
115991,1035,42720,5
116252,664,149363,4
116400,278,161175,5
116425,1595,162959,4
116920,567,165442,4
117109,1662,59064,3
117127,1746,146047,5
117149,167,4470,5
117223,1035,37471,5
117250,1005,60989,5
117253,1209,88047,5
117307,809,125325,5
117411,809,58469,4
117499,970,98626,3
117756,561,166275,5
118081,220,61660,5
118177,528,166623,5
118318,1048,155091,4
118320,242,131674,5
118366,1599,129008,2
118405,2015,163986,4
118641,468,163688,5
118649,72,158212,4
118870,213,20754,4
119039,504,64625,5
119093,456,110875,5
119218,273,114317,5
119229,1171,93006,5
119314,634,12118,4
119742,1209,66001,5
119799,1236,157248,5
119852,468,73836,5
119887,632,117781,5
119920,592,71324,5
119945,608,81521,0
119946,693,144893,4
119957,1955,162888,3
120254,571,145448,5
120274,1035,167659,0
120398,519,65056,5
120666,1032,149363,5
120857,1306,158131,4
120860,810,152837,5
121107,246,160871,5
121135,250,55536,4
121313,76,87236,5
121399,468,170158,5
121426,1883,118007,5
121549,150,170320,5
121708,566,54678,4
121926,1035,1535,5
121966,328,167326,2
122107,828,170788,0
122110,1904,92295,5
122596,1944,91496,4
122626,1171,71324,5
122898,1465,157663,5
122946,632,170883,5
123013,897,171423,0
123055,84,170807,5
123071,834,64203,5
123147,834,1535,5
123368,635,165845,5
123419,40,172249,4
124030,560,41894,5
124345,1629,88378,4
124629,280,173674,4
124865,825,173674,5
125032,1103,52074,5
125222,1259,33159,4
125225,2056,33159,3
125265,810,130663,5
125397,1103,33159,4
125514,1428,40779,5
125600,780,67656,5
125680,76,157588,5
125763,759,174991,5
126256,342,36079,5
126319,290,68460,5
126336,246,142790,2
126402,211,54243,1
126679,198,176590,5
126892,780,176591,3
126987,211,38717,5
126995,1209,170972,5
127093,636,175824,5
127281,820,146047,4
127388,1119,82507,5
127492,539,42337,5
127588,355,172169,4
127589,429,172169,3
127767,1708,172169,4
127891,198,142583,5
128118,463,146824,0
128283,267,5060,5
128285,684,4470,5
128291,211,103989,5
128501,1832,177958,5
128602,1117,11009,5
128627,810,66983,4
128724,119,176591,4
128772,463,133174,5
128862,1128,172169,4
128956,1035,179133,5
129311,632,176615,5
129462,198,37106,5
129490,463,67395,5
129500,211,37106,5
129815,606,180206,5
129872,1904,59780,5
129947,153,179471,0
130000,198,82161,5
130083,1005,137302,5
130143,414,173674,5
130269,50,10448,5
130399,1171,13483,5
130948,2080,55274,5
131229,361,141139,3
131286,177,25455,3
131465,397,122235,5
131510,860,145451,5
131655,1236,121985,5
131664,1157,28339,5
132033,565,145960,4
132354,102,144690,3
132355,1873,65957,5
132679,719,37449,5
132707,76,49937,5
132713,423,183379,2
132874,93,183533,2
132995,519,158966,5
133001,744,178456,5
133238,2056,4470,5
133578,421,177019,5
133681,1209,165381,5
133999,211,59780,5
134210,1171,129924,4
134758,1945,121985,4
134775,1387,88732,5
134851,1267,176471,5
134861,76,185403,4
134967,2086,122001,3
134972,76,183337,5
135042,845,153188,3
135079,810,178053,5
135239,1296,87023,4
135320,224,167225,0
